date,symbol,return,intraday_vol,momentum15,rvol20,skew20,kurt20,carry,cma_5_20,cma_12_26,cma_52_200,cross_mean_return,cross_return_rank,cross_carry_rank,xret_AUDUSD,xret_EURUSD,xret_GBPUSD,xret_NZDUSD,xret_USDCAD,xret_USDCHF,xret_USDJPY,target
2006-11-17,EURUSD,1.198216832042584,0.6734601545248715,0.7413004417099437,-0.5450732788715357,-1.051103373403945,-1.3857116168324566,1.2734405393836516,1.3482746054804426,1.888361259721373,0.14579775058889372,0.7258149544923705,0.3571428571428571,-0.35714285714285715,0.7393434776526976,1.198216832042584,1.351456420781224,0.3064189373276597,0.7606316174456711,-1.1807484790192255,-1.4879029300481432,2.284893422187329
2006-11-20,EURUSD,-0.7114422673685318,-1.071264772846555,0.6800219190098267,-1.1443421589454357,-0.635908809889069,-1.4419695685735017,1.2471175344143008,1.1756102834242579,1.7671869652340735,0.26679254150645426,0.7543529152917504,-0.35714285714285715,-0.35714285714285715,0.30594441936611355,-0.7114422673685318,-0.10806115100783939,0.5156884234375689,-0.06743839549291455,0.30782759858033154,1.046182912847304,3.0611136163001222
2006-11-21,EURUSD,0.6102611275065163,-0.6926451687684095,0.5346710438815919,-1.0879306620813036,-0.8563942617125135,-1.4277748847563796,1.2244017485000878,1.1602971860222844,1.7201727941383447,0.4146726451264012,0.0081520873197993,0.5,-0.35714285714285715,0.17548425479323002,0.6102611275065163,0.3040462288949703,0.1470602980129494,-0.19797390266394016,-0.5886843805480285,-0.4323918678662865,3.473081280624987
2006-11-22,EURUSD,1.9362950281246365,1.729654661176927,1.1975825416774253,-0.43530398618255356,-0.2655673068403613,-1.240764621500536,1.205765069524628,1.5151561774599693,1.8740052326040357,0.6569224048168043,-0.4503508040119294,0.3571428571428571,-0.35714285714285715,1.2299447988100025,1.9362950281246365,2.054424106400172,0.15816243197353502,-1.0092760925616477,-2.6819331603264103,-2.287337719428955,1.9605317484415783
2006-11-23,EURUSD,0.22645947979318462,2.4019071444041296,1.0851737142182685,-1.055785271157774,-0.07595659076038952,-0.17167842790327217,1.1919623883415582,1.698915423648791,1.9715140608796082,0.9039071314065653,-0.9568397135125596,0.5,-0.35714285714285715,0.013960675385382494,0.22645947979318462,0.1614565011008098,-0.5039097828186064,-0.1498746513146793,-0.5285124771864989,-0.9675939544048505,2.802258187860678
2006-11-24,EURUSD,2.565369994684491,2.9606396000277706,2.2919347825512824,0.8129347518275095,1.685482253590844,2.1922587452774,1.1536776142716056,2.2433958661798123,2.274808220215971,1.2787087414939988,0.7620972042469262,0.5,-0.35714285714285715,1.0832330508373857,2.565369994684491,2.0333545035233334,1.1576860039210535,-1.911246375226256,-2.6327537469304523,-0.777165596222039,2.244818912244684
2006-11-27,EURUSD,0.8515667372011696,-0.5859439986146155,2.334754794199176,0.6514588256079744,1.0768582370432056,2.10225225530836,1.1171401004936787,2.56832710252623,2.5083019497759467,1.6736567952495585,-0.41693243739559893,0.5,-0.35714285714285715,-0.09963069474847046,0.8515667372011696,0.7529285069183143,-1.3267059932595249,-0.41987857204143125,-0.38299500218938454,0.4766883858503685,1.768257885324691
2006-11-28,EURUSD,1.2518882374100067,0.5068464766063637,2.2785114054341173,0.854904185177554,0.9414593183713728,1.3741170697964276,1.0822032503215113,2.8027056621573623,2.709676724297041,2.088545907122463,2.9037776159181288,0.0714285714285714,-0.35714285714285715,1.6597359626031087,1.2518882374100067,1.7976739151722136,2.2753867661723213,-0.7601217945550177,-0.6157834706928196,-0.1249966951200731,0.9911179431343019
2006-11-29,EURUSD,-1.1782125075252372,-0.0027541889445669887,1.969963457978982,1.4227833518571953,0.6814501889151697,0.5122143109081295,1.0487417611588186,2.574331102154031,2.6614229084732206,2.374437041130677,0.5783699407762062,-0.35714285714285715,-0.35714285714285715,-0.3567768023069713,-1.1782125075252372,-1.0559152634149513,-0.3139672516761927,1.8987001848842542,1.467147112346554,0.8227297532256291,1.183846875293748
2006-11-30,EURUSD,1.8034296262987999,1.761552910082246,2.0090791779424806,2.1073994826521907,0.41820991585093753,-0.8658871853721123,1.0166495962916735,2.6104461647117243,2.710757210676363,2.6718352211525946,1.7916083949517325,0.2142857142857143,-0.35714285714285715,1.6851343656912026,1.8034296262987999,2.34759352392885,1.1443113676125292,0.532397891583562,-2.0883005424816745,-1.557181003220616,0.2984646456949087
2006-12-01,EURUSD,1.4886912526562384,1.6718395884650787,2.222571615901852,1.2339186310656403,0.41251154997163997,-1.555805002192283,1.7283576855590186,2.7146290384601395,2.784468843735655,2.9333623082365596,1.7776880459809912,0.3571428571428571,-0.35714285714285715,0.7982395771388846,1.4886912526562384,1.4964675388045225,0.8634388228886172,0.6118499676105642,-0.6058329296154796,-0.8979027626477527,0.44712611280799947
2006-12-04,EURUSD,-0.2963035912085254,-0.23997978721461105,2.209543915228433,1.332095723076367,0.5644133114098515,-1.7498991652683449,1.6679244272486686,2.5894133287400574,2.737020563812375,3.0770571653671377,-0.7656034942660093,-0.07142857142857145,-0.35714285714285715,-1.160131552399716,-0.2963035912085254,-0.20812090759959334,0.1816515331927894,-1.0352846126487472,0.16521821391402092,0.38066565350944026,-0.7212543695012322
2006-12-05,EURUSD,-0.5242852417373234,-0.45352991160848444,2.06980653121563,1.4734875512778416,1.1061516867223418,-1.7068359024661213,1.6127591481374959,2.3381450727669626,2.6072951924593113,3.123016477961205,-1.950552853523316,0.2142857142857143,-0.35714285714285715,-0.919178576623291,-0.5242852417373234,-1.098843419108421,-0.9152591805246504,0.3029348740466508,-0.04601584172444926,-0.8055673539616212,-0.28803112153357907
2006-12-06,EURUSD,-0.8003966920653999,0.10186397590377574,1.780014760949762,1.6366073571517659,1.0355819030011784,-1.7408603334865063,1.5623474729421363,2.003306782001246,2.4163540030387503,3.0942388468713298,-0.1709957620182793,-0.07142857142857145,-0.35714285714285715,-0.8912335260899773,-0.8003966920653999,-1.0516179374574,-0.3730686479623011,1.0499600168555645,0.8352304677599237,0.8736132365952475,-0.5797735466701628
2006-12-07,EURUSD,-0.19114306227703365,-1.0627719061146228,1.8325649327585494,1.4030118872049173,1.702705709044941,-0.8849053582878276,1.5163022500670207,1.7163232789420795,2.230432673585913,3.0374460224547324,0.4821128619413605,0.0714285714285714,-0.35714285714285715,1.1299002098334965,-0.19114306227703365,-0.6060559849380804,0.4653243164234172,0.4214099622872698,0.042066310142486456,-0.3014590247923134,-1.0996162993220604
2006-12-08,EURUSD,1.7837001919655147,4.397226263127139,1.9497921493834158,2.2125750068022936,1.1456012819722783,-2.0868519285489517,1.474348907155342,1.7280709841269761,2.174984393543342,3.01759281828913,1.4809029378302936,0.2142857142857143,-0.35714285714285715,-0.7990903199576584,1.7837001919655147,-1.194825462237273,-0.6161062232721475,-0.5144263600311241,1.9114732042186011,2.3838710992529673,-2.4869061555262664
2006-12-11,EURUSD,-2.6882407328480515,1.4020910196406013,1.4210206730906905,4.291382298798471,-1.6025485033310227,1.8480963154678045,1.4363191453167092,1.3016373766224092,1.9275190055716855,2.903314820804315,-0.8486004854367549,-0.35714285714285715,-0.35714285714285715,-0.567854570774501,-2.6882407328480515,0.5278415815064607,0.5270351893503767,-0.14052191395980562,-0.5615933905522933,0.9875412072805201,-1.156747590013113
2006-12-12,EURUSD,0.4196238978955919,-0.41809848037041364,1.3916091346844524,3.718057897501208,-1.9926664566451229,2.172742201084583,1.4021529730540023,1.0684936821387099,1.7495228894881518,2.8094245860475713,1.6257185879794045,0.0714285714285714,-0.35714285714285715,0.46992528385367877,0.4196238978955919,1.1808425443933497,0.8035037688331854,0.8865146685151131,-0.2540367792791312,-0.09111617815617344,-0.6200704143143545
2006-12-13,EURUSD,-1.3303479333687676,0.3287760409030489,0.6744912649713724,3.831073217923389,-1.6262295828890971,0.6775988330248078,1.3719104911178917,0.7068281354548593,1.5114748832449674,2.6888945075278183,0.6613652710624157,-0.35714285714285715,-0.35714285714285715,-0.5360777255294603,-1.3303479333687676,-0.5867446481649321,0.24466229109763502,0.7292132845942607,1.2718145313737772,1.3906583754749342,-0.24395512184498747
2006-12-14,EURUSD,-1.2054400596140797,0.8072265987061334,0.33560796186316777,3.583489031302489,-1.5036234650778582,0.14732759611807825,1.3457968309094965,0.2931067041641087,1.2374599162934936,2.555058622604267,-1.1016077781657445,-0.2142857142857143,-0.35714285714285715,-1.1534614371890226,-1.2054400596140797,-0.8162156037604009,-1.403133473799056,0.13543717068326042,1.4693276571037834,0.6909081883908761,0.21778304254310812
2006-12-15,EURUSD,-1.1049236418033133,1.0865212435269316,-0.502121129441145,3.370544750633124,-0.7695865982466072,-0.4930230496481517,1.3242069778473766,-0.1268202108464851,0.9428637948094286,2.414917390127134,0.08768437361380199,-0.35714285714285715,-0.35714285714285715,-0.3675513624069832,-1.1049236418033133,-1.127224617725821,0.49213804880996065,-0.05092691219157172,1.2309483999093642,0.7475476675116257,0.3003555762149514
